"Time Window","SYN Rate","SYN Percentage","Port Spread","ACK Response Rate","Source Diversity","Scan Intensity","Risk Assessment","Scan Archetype","Suggested Action","Explanation"
"long","low","moderate","a few","complete response","centralized","Low","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","moderate","a few","complete response","moderately distributed","Low","none","likely benign","Monitor only","complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","moderate","a few","complete response","highly distributed","Low","none","likely benign","Monitor only","highly distributed sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","moderate","several","no response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","moderate","several","no response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","minimal ACK responses; = stealth scan behavior"
"long","low","moderate","several","no response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","moderate","several","minimal response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","moderate","several","minimal response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","minimal ACK responses; = stealth scan behavior"
"long","low","moderate","several","minimal response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","moderate","several","partial response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; = stealth scan behavior"
"long","low","moderate","several","partial response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","= stealth scan behavior"
"long","low","moderate","several","partial response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; = distributed scanning"
"long","low","moderate","several","widespread response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; = stealth scan behavior"
"long","low","moderate","several","widespread response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","= stealth scan behavior"
"long","low","moderate","several","widespread response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; = distributed scanning"
"long","low","moderate","several","broad response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; = stealth scan behavior"
"long","low","moderate","several","broad response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","= stealth scan behavior"
"long","low","moderate","several","broad response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; = distributed scanning"
"long","low","moderate","several","complete response","centralized","Moderate","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","moderate","several","complete response","moderately distributed","Moderate","none","likely benign","Monitor only","complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","moderate","several","complete response","highly distributed","Moderate","none","likely benign","Monitor only","highly distributed sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","moderate","many","no response","centralized","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","moderate","many","no response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; minimal ACK responses; = stealth scan behavior"
"long","low","moderate","many","no response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","multiple ports targeted; highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","moderate","many","minimal response","centralized","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","moderate","many","minimal response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; minimal ACK responses; = stealth scan behavior"
"long","low","moderate","many","minimal response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","multiple ports targeted; highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","moderate","many","partial response","centralized","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; single/few sources; = stealth scan behavior"
"long","low","moderate","many","partial response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; = stealth scan behavior"
"long","low","moderate","many","partial response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","multiple ports targeted; highly distributed sources; = distributed scanning"
"long","low","moderate","many","widespread response","centralized","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; single/few sources; = stealth scan behavior"
"long","low","moderate","many","widespread response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; = stealth scan behavior"
"long","low","moderate","many","widespread response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","multiple ports targeted; highly distributed sources; = distributed scanning"
"long","low","moderate","many","broad response","centralized","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; single/few sources; = stealth scan behavior"
"long","low","moderate","many","broad response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; = stealth scan behavior"
"long","low","moderate","many","broad response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","multiple ports targeted; highly distributed sources; = distributed scanning"
"long","low","moderate","many","complete response","centralized","Moderate","none","likely benign","Monitor only","multiple ports targeted; single/few sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","moderate","many","complete response","moderately distributed","Moderate","none","likely benign","Monitor only","multiple ports targeted; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","moderate","many","complete response","highly distributed","Moderate","none","likely benign","Monitor only","multiple ports targeted; highly distributed sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","moderate","broad sweep","no response","centralized","None","elevated","stealth","Enhanced monitoring","Low scanning activity; broad port sweep; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","moderate","broad sweep","no response","moderately distributed","None","elevated","stealth","Enhanced monitoring","Low scanning activity; broad port sweep; minimal ACK responses; = stealth scan behavior"
"long","low","moderate","broad sweep","no response","highly distributed","None","elevated","distributed","Alert SOC + Coordinate response","Low scanning activity; broad port sweep; highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","moderate","broad sweep","minimal response","centralized","None","elevated","stealth","Enhanced monitoring","Low scanning activity; broad port sweep; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","moderate","broad sweep","minimal response","moderately distributed","None","elevated","stealth","Enhanced monitoring","Low scanning activity; broad port sweep; minimal ACK responses; = stealth scan behavior"
"long","low","moderate","broad sweep","minimal response","highly distributed","None","elevated","distributed","Alert SOC + Coordinate response","Low scanning activity; broad port sweep; highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","moderate","broad sweep","partial response","centralized","None","elevated","stealth","Enhanced monitoring","Low scanning activity; broad port sweep; single/few sources; = stealth scan behavior"
"long","low","moderate","broad sweep","partial response","moderately distributed","None","elevated","stealth","Enhanced monitoring","Low scanning activity; broad port sweep; = stealth scan behavior"
"long","low","moderate","broad sweep","partial response","highly distributed","None","elevated","distributed","Alert SOC + Coordinate response","Low scanning activity; broad port sweep; highly distributed sources; = distributed scanning"
"long","low","moderate","broad sweep","widespread response","centralized","None","elevated","stealth","Enhanced monitoring","Low scanning activity; broad port sweep; single/few sources; = stealth scan behavior"
"long","low","moderate","broad sweep","widespread response","moderately distributed","None","elevated","stealth","Enhanced monitoring","Low scanning activity; broad port sweep; = stealth scan behavior"
"long","low","moderate","broad sweep","widespread response","highly distributed","None","elevated","distributed","Alert SOC + Coordinate response","Low scanning activity; broad port sweep; highly distributed sources; = distributed scanning"
"long","low","moderate","broad sweep","broad response","centralized","None","elevated","stealth","Enhanced monitoring","Low scanning activity; broad port sweep; single/few sources; = stealth scan behavior"
"long","low","moderate","broad sweep","broad response","moderately distributed","None","elevated","stealth","Enhanced monitoring","Low scanning activity; broad port sweep; = stealth scan behavior"
"long","low","moderate","broad sweep","broad response","highly distributed","None","elevated","distributed","Alert SOC + Coordinate response","Low scanning activity; broad port sweep; highly distributed sources; = distributed scanning"
"long","low","moderate","broad sweep","complete response","centralized","None","none","likely benign","Monitor only","Low scanning activity; broad port sweep; single/few sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","moderate","broad sweep","complete response","moderately distributed","None","none","likely benign","Monitor only","Low scanning activity; broad port sweep; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","moderate","broad sweep","complete response","highly distributed","None","none","likely benign","Monitor only","Low scanning activity; broad port sweep; highly distributed sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","dominant","one","no response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","dominant","one","minimal response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","dominant","one","partial response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; = stealth scan behavior"
"long","low","dominant","one","widespread response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; = stealth scan behavior"
"long","low","dominant","one","broad response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; = stealth scan behavior"
"long","low","dominant","one","complete response","centralized","Moderate","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","dominant","a few","no response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","dominant","a few","no response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","minimal ACK responses; = stealth scan behavior"
"long","low","dominant","a few","no response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","dominant","a few","minimal response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","dominant","a few","minimal response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","minimal ACK responses; = stealth scan behavior"
"long","low","dominant","a few","minimal response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","dominant","a few","partial response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; = stealth scan behavior"
"long","low","dominant","a few","partial response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","= stealth scan behavior"
"long","low","dominant","a few","partial response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; = distributed scanning"
"long","low","dominant","a few","widespread response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; = stealth scan behavior"
"long","low","dominant","a few","widespread response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","= stealth scan behavior"
"long","low","dominant","a few","widespread response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; = distributed scanning"
"long","low","dominant","a few","broad response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; = stealth scan behavior"
"long","low","dominant","a few","broad response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","= stealth scan behavior"
"long","low","dominant","a few","broad response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; = distributed scanning"
"long","low","dominant","a few","complete response","centralized","Moderate","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","dominant","a few","complete response","moderately distributed","Moderate","none","likely benign","Monitor only","complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","dominant","a few","complete response","highly distributed","Moderate","none","likely benign","Monitor only","highly distributed sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","dominant","several","no response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","dominant","several","no response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","minimal ACK responses; = stealth scan behavior"
"long","low","dominant","several","no response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","dominant","several","minimal response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","dominant","several","minimal response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","minimal ACK responses; = stealth scan behavior"
"long","low","dominant","several","minimal response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","dominant","several","partial response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; = stealth scan behavior"
"long","low","dominant","several","partial response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","= stealth scan behavior"
"long","low","dominant","several","partial response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; = distributed scanning"
"long","low","dominant","several","widespread response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; = stealth scan behavior"
"long","low","dominant","several","widespread response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","= stealth scan behavior"
"long","low","dominant","several","widespread response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; = distributed scanning"
"long","low","dominant","several","broad response","centralized","Moderate","moderate","stealth","Enhanced monitoring","single/few sources; = stealth scan behavior"
"long","low","dominant","several","broad response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","= stealth scan behavior"
"long","low","dominant","several","broad response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","highly distributed sources; = distributed scanning"
"long","low","dominant","several","complete response","centralized","Moderate","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","dominant","several","complete response","moderately distributed","Moderate","none","likely benign","Monitor only","complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","dominant","several","complete response","highly distributed","Moderate","none","likely benign","Monitor only","highly distributed sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","dominant","many","no response","centralized","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","dominant","many","no response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; minimal ACK responses; = stealth scan behavior"
"long","low","dominant","many","no response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","multiple ports targeted; highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","dominant","many","minimal response","centralized","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","dominant","many","minimal response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; minimal ACK responses; = stealth scan behavior"
"long","low","dominant","many","minimal response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","multiple ports targeted; highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","dominant","many","partial response","centralized","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; single/few sources; = stealth scan behavior"
"long","low","dominant","many","partial response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; = stealth scan behavior"
"long","low","dominant","many","partial response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","multiple ports targeted; highly distributed sources; = distributed scanning"
"long","low","dominant","many","widespread response","centralized","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; single/few sources; = stealth scan behavior"
"long","low","dominant","many","widespread response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; = stealth scan behavior"
"long","low","dominant","many","widespread response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","multiple ports targeted; highly distributed sources; = distributed scanning"
"long","low","dominant","many","broad response","centralized","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; single/few sources; = stealth scan behavior"
"long","low","dominant","many","broad response","moderately distributed","Moderate","moderate","stealth","Enhanced monitoring","multiple ports targeted; = stealth scan behavior"
"long","low","dominant","many","broad response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","multiple ports targeted; highly distributed sources; = distributed scanning"
"long","low","dominant","many","complete response","centralized","Moderate","none","likely benign","Monitor only","multiple ports targeted; single/few sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","dominant","many","complete response","moderately distributed","Moderate","none","likely benign","Monitor only","multiple ports targeted; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","dominant","many","complete response","highly distributed","Moderate","none","likely benign","Monitor only","multiple ports targeted; highly distributed sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","dominant","broad sweep","no response","centralized","Moderate","critical","stealth","Enhanced monitoring","broad port sweep; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","dominant","broad sweep","no response","moderately distributed","Moderate","critical","stealth","Enhanced monitoring","broad port sweep; minimal ACK responses; = stealth scan behavior"
"long","low","dominant","broad sweep","no response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","broad port sweep; highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","dominant","broad sweep","minimal response","centralized","Moderate","critical","stealth","Enhanced monitoring","broad port sweep; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","dominant","broad sweep","minimal response","moderately distributed","Moderate","critical","stealth","Enhanced monitoring","broad port sweep; minimal ACK responses; = stealth scan behavior"
"long","low","dominant","broad sweep","minimal response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","broad port sweep; highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","dominant","broad sweep","partial response","centralized","Moderate","critical","stealth","Enhanced monitoring","broad port sweep; single/few sources; = stealth scan behavior"
"long","low","dominant","broad sweep","partial response","moderately distributed","Moderate","critical","stealth","Enhanced monitoring","broad port sweep; = stealth scan behavior"
"long","low","dominant","broad sweep","partial response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","broad port sweep; highly distributed sources; = distributed scanning"
"long","low","dominant","broad sweep","widespread response","centralized","Moderate","critical","stealth","Enhanced monitoring","broad port sweep; single/few sources; = stealth scan behavior"
"long","low","dominant","broad sweep","widespread response","moderately distributed","Moderate","critical","stealth","Enhanced monitoring","broad port sweep; = stealth scan behavior"
"long","low","dominant","broad sweep","widespread response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","broad port sweep; highly distributed sources; = distributed scanning"
"long","low","dominant","broad sweep","broad response","centralized","Moderate","critical","stealth","Enhanced monitoring","broad port sweep; single/few sources; = stealth scan behavior"
"long","low","dominant","broad sweep","broad response","moderately distributed","Moderate","critical","stealth","Enhanced monitoring","broad port sweep; = stealth scan behavior"
"long","low","dominant","broad sweep","broad response","highly distributed","Moderate","critical","distributed","Alert SOC + Coordinate response","broad port sweep; highly distributed sources; = distributed scanning"
"long","low","dominant","broad sweep","complete response","centralized","Moderate","none","likely benign","Monitor only","broad port sweep; single/few sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","dominant","broad sweep","complete response","moderately distributed","Moderate","none","likely benign","Monitor only","broad port sweep; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","dominant","broad sweep","complete response","highly distributed","Moderate","none","likely benign","Monitor only","broad port sweep; highly distributed sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","overwhelming","one","no response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","overwhelming","one","minimal response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","overwhelming","one","partial response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; = stealth scan behavior"
"long","low","overwhelming","one","widespread response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; = stealth scan behavior"
"long","low","overwhelming","one","broad response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; = stealth scan behavior"
"long","low","overwhelming","one","complete response","centralized","High","none","likely benign","Monitor only","low SYN rate; single/few sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","overwhelming","a few","no response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","overwhelming","a few","no response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; minimal ACK responses; = stealth scan behavior"
"long","low","overwhelming","a few","no response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","overwhelming","a few","minimal response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","overwhelming","a few","minimal response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; minimal ACK responses; = stealth scan behavior"
"long","low","overwhelming","a few","minimal response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","overwhelming","a few","partial response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; = stealth scan behavior"
"long","low","overwhelming","a few","partial response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; = stealth scan behavior"
"long","low","overwhelming","a few","partial response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; highly distributed sources; = distributed scanning"
"long","low","overwhelming","a few","widespread response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; = stealth scan behavior"
"long","low","overwhelming","a few","widespread response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; = stealth scan behavior"
"long","low","overwhelming","a few","widespread response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; highly distributed sources; = distributed scanning"
"long","low","overwhelming","a few","broad response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; = stealth scan behavior"
"long","low","overwhelming","a few","broad response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; = stealth scan behavior"
"long","low","overwhelming","a few","broad response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; highly distributed sources; = distributed scanning"
"long","low","overwhelming","a few","complete response","centralized","High","none","likely benign","Monitor only","low SYN rate; single/few sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","overwhelming","a few","complete response","moderately distributed","High","none","likely benign","Monitor only","low SYN rate; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","overwhelming","a few","complete response","highly distributed","High","none","likely benign","Monitor only","low SYN rate; highly distributed sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","overwhelming","several","no response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","overwhelming","several","no response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; minimal ACK responses; = stealth scan behavior"
"long","low","overwhelming","several","no response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","overwhelming","several","minimal response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","overwhelming","several","minimal response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; minimal ACK responses; = stealth scan behavior"
"long","low","overwhelming","several","minimal response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","overwhelming","several","partial response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; = stealth scan behavior"
"long","low","overwhelming","several","partial response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; = stealth scan behavior"
"long","low","overwhelming","several","partial response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; highly distributed sources; = distributed scanning"
"long","low","overwhelming","several","widespread response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; = stealth scan behavior"
"long","low","overwhelming","several","widespread response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; = stealth scan behavior"
"long","low","overwhelming","several","widespread response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; highly distributed sources; = distributed scanning"
"long","low","overwhelming","several","broad response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; single/few sources; = stealth scan behavior"
"long","low","overwhelming","several","broad response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; = stealth scan behavior"
"long","low","overwhelming","several","broad response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; highly distributed sources; = distributed scanning"
"long","low","overwhelming","several","complete response","centralized","High","none","likely benign","Monitor only","low SYN rate; single/few sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","overwhelming","several","complete response","moderately distributed","High","none","likely benign","Monitor only","low SYN rate; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","overwhelming","several","complete response","highly distributed","High","none","likely benign","Monitor only","low SYN rate; highly distributed sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","overwhelming","many","no response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; multiple ports targeted; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","overwhelming","many","no response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; multiple ports targeted; minimal ACK responses; = stealth scan behavior"
"long","low","overwhelming","many","no response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; multiple ports targeted; highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","overwhelming","many","minimal response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; multiple ports targeted; single/few sources; minimal ACK responses; = stealth scan behavior"
"long","low","overwhelming","many","minimal response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; multiple ports targeted; minimal ACK responses; = stealth scan behavior"
"long","low","overwhelming","many","minimal response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; multiple ports targeted; highly distributed sources; minimal ACK responses; = distributed scanning"
"long","low","overwhelming","many","partial response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; multiple ports targeted; single/few sources; = stealth scan behavior"
"long","low","overwhelming","many","partial response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; multiple ports targeted; = stealth scan behavior"
"long","low","overwhelming","many","partial response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; multiple ports targeted; highly distributed sources; = distributed scanning"
"long","low","overwhelming","many","widespread response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; multiple ports targeted; single/few sources; = stealth scan behavior"
"long","low","overwhelming","many","widespread response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; multiple ports targeted; = stealth scan behavior"
"long","low","overwhelming","many","widespread response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; multiple ports targeted; highly distributed sources; = distributed scanning"
"long","low","overwhelming","many","broad response","centralized","High","elevated","stealth","Enhanced monitoring","low SYN rate; multiple ports targeted; single/few sources; = stealth scan behavior"
"long","low","overwhelming","many","broad response","moderately distributed","High","elevated","stealth","Enhanced monitoring","low SYN rate; multiple ports targeted; = stealth scan behavior"
"long","low","overwhelming","many","broad response","highly distributed","High","critical","distributed","Alert SOC + Coordinate response","low SYN rate; multiple ports targeted; highly distributed sources; = distributed scanning"
"long","low","overwhelming","many","complete response","centralized","High","none","likely benign","Monitor only","low SYN rate; multiple ports targeted; single/few sources; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","overwhelming","many","complete response","moderately distributed","High","none","likely benign","Monitor only","low SYN rate; multiple ports targeted; complete ACK responses (likely benign); = likely legitimate traffic"
"long","low","overwhelming","many","complete response","highly distributed","High","none","likely benign","Monitor only","low SYN rate; multiple ports targeted; highly distributed sources; complete ACK responses (likely benign); = likely legitimate traffic"
